prison_id,country,indicators,crime_category,year,count
83,Thailand,entering,drug possession,2020,19838
84,Trinidad and Tobago,entering,drug possession,2020,217
85,Chile,entering,drug possession,2021,124
86,Czechia,entering,drug possession,2021,972
87,Jamaica,entering,drug possession,2021,16
88,Mexico,entering,drug possession,2021,11438
89,Malta,entering,drug possession,2021,37
90,Costa Rica,entering,drug trafficking,2016,203
91,Italy,entering,drug trafficking,2016,13783
92,Mexico,entering,drug trafficking,2016,16145
93,Bermuda,entering,drug trafficking,2017,31
94,Switzerland,entering,drug trafficking,2017,886
95,Chile,entering,drug trafficking,2017,4916
96,Costa Rica,entering,drug trafficking,2017,204
97,Italy,entering,drug trafficking,2017,14616
98,Luxembourg,entering,drug trafficking,2017,152
99,Mexico,entering,drug trafficking,2017,11108
100,Malta,entering,drug trafficking,2017,66
101,Antigua and Barbuda,entering,drug trafficking,2018,1
102,Belize,entering,drug trafficking,2018,95
103,Bermuda,entering,drug trafficking,2018,19
104,Switzerland,entering,drug trafficking,2018,711
105,Chile,entering,drug trafficking,2018,7220
106,Dominica,entering,drug trafficking,2018,3
107,Italy,entering,drug trafficking,2018,14556
108,Luxembourg,entering,drug trafficking,2018,187
109,Mexico,entering,drug trafficking,2018,12980
110,Malta,entering,drug trafficking,2018,41
111,Antigua and Barbuda,entering,drug trafficking,2019,2
112,Belize,entering,drug trafficking,2019,107
113,Bermuda,entering,drug trafficking,2019,15
114,Switzerland,entering,drug trafficking,2019,888
115,Chile,entering,drug trafficking,2019,7081
116,Colombia,entering,drug trafficking,2019,13209
117,Dominica,entering,drug trafficking,2019,11
118,Jamaica,entering,drug trafficking,2019,57
119,Mexico,entering,drug trafficking,2019,14375
120,Malta,entering,drug trafficking,2019,48
121,Thailand,entering,drug trafficking,2019,207081
122,Trinidad and Tobago,entering,drug trafficking,2019,368
123,Belize,entering,drug trafficking,2020,41
124,Switzerland,entering,drug trafficking,2020,815
125,Chile,entering,drug trafficking,2020,5419
126,Colombia,entering,drug trafficking,2020,2400
127,Dominica,entering,drug trafficking,2020,12
128,Jamaica,entering,drug trafficking,2020,24
129,Mexico,entering,drug trafficking,2020,16857
130,Malta,entering,drug trafficking,2020,49
131,Thailand,entering,drug trafficking,2020,201796
132,Trinidad and Tobago,entering,drug trafficking,2020,155
133,Switzerland,entering,drug trafficking,2021,624
134,Chile,entering,drug trafficking,2021,6954
135,Colombia,entering,drug trafficking,2021,3561
136,Czechia,entering,drug trafficking,2021,2410
137,Italy,entering,drug trafficking,2021,10824
138,Jamaica,entering,drug trafficking,2021,22
139,Mexico,entering,drug trafficking,2021,14196
140,Malta,entering,drug trafficking,2021,36
141,Italy,entering,bribery,2016,223
142,Mexico,entering,bribery,2016,308
143,Chile,entering,bribery,2017,5
144,Italy,entering,bribery,2017,312
145,Luxembourg,entering,bribery,2017,3
146,Mexico,entering,bribery,2017,247
147,Malta,entering,bribery,2017,4
148,Chile,entering,bribery,2018,16
149,Italy,entering,bribery,2018,223
150,Luxembourg,entering,bribery,2018,2
151,Mexico,entering,bribery,2018,287
152,Bermuda,entering,bribery,2019,2
153,Chile,entering,bribery,2019,20
154,Colombia,entering,bribery,2019,371
155,Dominica,entering,bribery,2019,9
156,Mexico,entering,bribery,2019,417
157,Thailand,entering,bribery,2019,19
158,Trinidad and Tobago,entering,bribery,2019,1
159,Chile,entering,bribery,2020,12
160,Colombia,entering,bribery,2020,5
161,Dominica,entering,bribery,2020,4
162,Mexico,entering,bribery,2020,1634
163,Thailand,entering,bribery,2020,11
164,Chile,entering,bribery,2021,8
165,Colombia,entering,bribery,2021,2
166,Czechia,entering,bribery,2021,16
167,Italy,entering,bribery,2021,200
168,Mexico,entering,bribery,2021,572
169,Portugal,persons held,intentional homicide,2008,340
170,Portugal,persons held,intentional homicide,2009,341
171,Argentina,persons held,intentional homicide,2010,3692
172,Australia,persons held,intentional homicide,2010,1889
173,Austria,persons held,intentional homicide,2010,495
174,Switzerland,persons held,intentional homicide,2010,452
175,Italy,persons held,intentional homicide,2010,5864
176,Malta,persons held,intentional homicide,2010,13
177,Portugal,persons held,intentional homicide,2010,340
178,Slovenia,persons held,intentional homicide,2010,102
179,Argentina,persons held,intentional homicide,2011,4051
180,Australia,persons held,intentional homicide,2011,1910
181,Austria,persons held,intentional homicide,2011,512
182,Switzerland,persons held,intentional homicide,2011,427
183,Czechia,persons held,intentional homicide,2011,1252
184,Italy,persons held,intentional homicide,2011,5891
185,Malta,persons held,intentional homicide,2011,11
186,Portugal,persons held,intentional homicide,2011,335
187,Slovenia,persons held,intentional homicide,2011,101
188,Argentina,persons held,intentional homicide,2012,4158
189,Australia,persons held,intentional homicide,2012,1904
190,Austria,persons held,intentional homicide,2012,513
191,Switzerland,persons held,intentional homicide,2012,395
192,Czechia,persons held,intentional homicide,2012,1119
193,Spain,persons held,intentional homicide,2012,3765
194,Israel,persons held,intentional homicide,2012,1076
195,Italy,persons held,intentional homicide,2012,5982
196,Malta,persons held,intentional homicide,2012,8
197,Portugal,persons held,intentional homicide,2012,332
198,Trinidad and Tobago,persons held,intentional homicide,2012,7
199,Argentina,persons held,intentional homicide,2013,4962
200,Australia,persons held,intentional homicide,2013,1937
201,Austria,persons held,intentional homicide,2013,495
202,Bermuda,persons held,intentional homicide,2013,32
203,Czechia,persons held,intentional homicide,2013,1158
204,Spain,persons held,intentional homicide,2013,3809
205,Israel,persons held,intentional homicide,2013,1054
206,Italy,persons held,intentional homicide,2013,6275
207,Portugal,persons held,intentional homicide,2013,330
208,Trinidad and Tobago,persons held,intentional homicide,2013,13
209,Argentina,persons held,intentional homicide,2014,4788
210,Australia,persons held,intentional homicide,2014,1991
211,Austria,persons held,intentional homicide,2014,487
212,Bermuda,persons held,intentional homicide,2014,30
213,Switzerland,persons held,intentional homicide,2014,479
214,Costa Rica,persons held,intentional homicide,2014,1651
215,Czechia,persons held,intentional homicide,2014,1154
216,Ecuador,persons held,intentional homicide,2014,1952
217,Spain,persons held,intentional homicide,2014,3924
218,Croatia,persons held,intentional homicide,2014,390
219,Israel,persons held,intentional homicide,2014,1059
220,Italy,persons held,intentional homicide,2014,6351
221,Malta,persons held,intentional homicide,2014,3
222,Portugal,persons held,intentional homicide,2014,319
223,Argentina,persons held,intentional homicide,2015,5615
224,Australia,persons held,intentional homicide,2015,2088
225,Switzerland,persons held,intentional homicide,2015,445
226,Costa Rica,persons held,intentional homicide,2015,1839
227,Czechia,persons held,intentional homicide,2015,872
228,Spain,persons held,intentional homicide,2015,3993
229,Croatia,persons held,intentional homicide,2015,339
230,Italy,persons held,intentional homicide,2015,6305
231,Jamaica,persons held,intentional homicide,2015,44
232,Malta,persons held,intentional homicide,2015,31
233,Portugal,persons held,intentional homicide,2015,1076
234,Argentina,persons held,intentional homicide,2016,10300
235,Australia,persons held,intentional homicide,2016,2141
236,Austria,persons held,intentional homicide,2016,498
237,Belize,persons held,intentional homicide,2016,68
238,Switzerland,persons held,intentional homicide,2016,244
239,Czechia,persons held,intentional homicide,2016,1192
240,Spain,persons held,intentional homicide,2016,3903
241,Italy,persons held,intentional homicide,2016,9064
242,Luxembourg,persons held,intentional homicide,2016,1
243,Mexico,persons held,intentional homicide,2016,41847
244,Portugal,persons held,intentional homicide,2016,1008
245,Slovenia,persons held,intentional homicide,2016,75
246,Thailand,persons held,intentional homicide,2016,1446
247,Argentina,persons held,intentional homicide,2017,11522
248,Australia,persons held,intentional homicide,2017,2163
249,Austria,persons held,intentional homicide,2017,498
250,Bermuda,persons held,intentional homicide,2017,36
251,Switzerland,persons held,intentional homicide,2017,532
252,Chile,persons held,intentional homicide,2017,462
253,Czechia,persons held,intentional homicide,2017,1143
254,Spain,persons held,intentional homicide,2017,3815
255,Italy,persons held,intentional homicide,2017,9201
256,Mexico,persons held,intentional homicide,2017,49800
257,Malta,persons held,intentional homicide,2017,46
258,Portugal,persons held,intentional homicide,2017,289
259,Slovenia,persons held,intentional homicide,2017,86
260,Argentina,persons held,intentional homicide,2018,12383
261,Australia,persons held,intentional homicide,2018,2187
262,Austria,persons held,intentional homicide,2018,528
263,Belize,persons held,intentional homicide,2018,296
264,Bermuda,persons held,intentional homicide,2018,46
265,Switzerland,persons held,intentional homicide,2018,540
266,Chile,persons held,intentional homicide,2018,558
267,Dominica,persons held,intentional homicide,2018,14
268,Spain,persons held,intentional homicide,2018,3717
269,Italy,persons held,intentional homicide,2018,9237
270,Mexico,persons held,intentional homicide,2018,48506
271,Malta,persons held,intentional homicide,2018,51
272,Portugal,persons held,intentional homicide,2018,282
273,Slovenia,persons held,intentional homicide,2018,80
274,Thailand,persons held,intentional homicide,2018,16465
275,Argentina,persons held,intentional homicide,2019,12934
276,Antigua and Barbuda,persons held,intentional homicide,2019,2
277,Austria,persons held,intentional homicide,2019,377
278,Belize,persons held,intentional homicide,2019,259
279,Bermuda,persons held,intentional homicide,2019,45
280,Switzerland,persons held,intentional homicide,2019,565
281,Chile,persons held,intentional homicide,2019,3836
282,Colombia,persons held,intentional homicide,2019,29493
283,Dominica,persons held,intentional homicide,2019,12
284,Spain,persons held,intentional homicide,2019,3566
285,Italy,persons held,intentional homicide,2019,9218
286,Mexico,persons held,intentional homicide,2019,59064
287,Malta,persons held,intentional homicide,2019,27
288,Portugal,persons held,intentional homicide,2019,249
289,Slovenia,persons held,intentional homicide,2019,103
290,Argentina,persons held,intentional homicide,2020,11596
291,Antigua and Barbuda,persons held,intentional homicide,2020,9
292,Austria,persons held,intentional homicide,2020,390
293,Belize,persons held,intentional homicide,2020,245
294,Switzerland,persons held,intentional homicide,2020,539
295,Chile,persons held,intentional homicide,2020,3851
296,Colombia,persons held,intentional homicide,2020,35752
297,Dominica,persons held,intentional homicide,2020,17
298,Spain,persons held,intentional homicide,2020,3507
299,Mexico,persons held,intentional homicide,2020,54830
300,Malta,persons held,intentional homicide,2020,29
301,Portugal,persons held,intentional homicide,2020,239
302,Slovenia,persons held,intentional homicide,2020,101
303,Argentina,persons held,intentional homicide,2021,13238
304,Austria,persons held,intentional homicide,2021,392
305,Switzerland,persons held,intentional homicide,2021,509
306,Chile,persons held,intentional homicide,2021,3555
307,Colombia,persons held,intentional homicide,2021,36095
308,Czechia,persons held,intentional homicide,2021,988
309,Croatia,persons held,intentional homicide,2021,313
310,Italy,persons held,intentional homicide,2021,8830
311,Mexico,persons held,intentional homicide,2021,54461
312,Malta,persons held,intentional homicide,2021,48
313,Portugal,persons held,intentional homicide,2021,256
314,Slovenia,persons held,intentional homicide,2021,90
315,Australia,persons held,drug possession,2010,160
316,Colombia,persons held,drug possession,2010,664
317,Czechia,persons held,drug possession,2010,291
318,Australia,persons held,drug possession,2011,182
319,Colombia,persons held,drug possession,2011,698
320,Czechia,persons held,drug possession,2011,281
321,Australia,persons held,drug possession,2012,218
322,Belize,persons held,drug possession,2012,179
323,Colombia,persons held,drug possession,2012,440
324,Czechia,persons held,drug possession,2012,232
325,Israel,persons held,drug possession,2012,80
326,Trinidad and Tobago,persons held,drug possession,2012,662
327,Australia,persons held,drug possession,2013,222
328,Belize,persons held,drug possession,2013,176
329,Bermuda,persons held,drug possession,2013,6
330,Colombia,persons held,drug possession,2013,361
331,Czechia,persons held,drug possession,2013,566
332,Israel,persons held,drug possession,2013,62
333,Trinidad and Tobago,persons held,drug possession,2013,811
334,Australia,persons held,drug possession,2014,268
335,Belize,persons held,drug possession,2014,228
336,Bermuda,persons held,drug possession,2014,2
337,Switzerland,persons held,drug possession,2014,1
338,Colombia,persons held,drug possession,2014,279
339,Costa Rica,persons held,drug possession,2014,393
340,Czechia,persons held,drug possession,2014,697
341,Ecuador,persons held,drug possession,2014,1869
342,Israel,persons held,drug possession,2014,62
343,Malta,persons held,drug possession,2014,95
344,Thailand,persons held,drug possession,2014,1347
345,Trinidad and Tobago,persons held,drug possession,2014,535
346,Australia,persons held,drug possession,2015,371
347,Colombia,persons held,drug possession,2015,312
348,Costa Rica,persons held,drug possession,2015,343
349,Czechia,persons held,drug possession,2015,970
350,Jamaica,persons held,drug possession,2015,5
351,Mexico,persons held,drug possession,2015,5788
352,Malta,persons held,drug possession,2015,22
353,Thailand,persons held,drug possession,2015,59453
354,Trinidad and Tobago,persons held,drug possession,2015,647
355,Australia,persons held,drug possession,2016,379
356,Belize,persons held,drug possession,2016,153
357,Czechia,persons held,drug possession,2016,993
358,Mexico,persons held,drug possession,2016,5543
359,Thailand,persons held,drug possession,2016,15232
360,Australia,persons held,drug possession,2017,435
361,Bermuda,persons held,drug possession,2017,6
362,Chile,persons held,drug possession,2017,206
363,Czechia,persons held,drug possession,2017,1062
364,Mexico,persons held,drug possession,2017,10376
365,Malta,persons held,drug possession,2017,22
366,Argentina,persons held,drug possession,2018,1765
367,Australia,persons held,drug possession,2018,442
368,Belize,persons held,drug possession,2018,24
369,Bermuda,persons held,drug possession,2018,2
370,Dominica,persons held,drug possession,2018,22
371,Mexico,persons held,drug possession,2018,5696
372,Malta,persons held,drug possession,2018,17
373,Argentina,persons held,drug possession,2019,2149
374,Antigua and Barbuda,persons held,drug possession,2019,5
375,Belize,persons held,drug possession,2019,30
376,Bermuda,persons held,drug possession,2019,1
377,Chile,persons held,drug possession,2019,43
378,Colombia,persons held,drug possession,2019,25897
379,Dominica,persons held,drug possession,2019,40
380,Mexico,persons held,drug possession,2019,11585
381,Malta,persons held,drug possession,2019,20
382,Argentina,persons held,drug possession,2020,1191
383,Antigua and Barbuda,persons held,drug possession,2020,2
384,Belize,persons held,drug possession,2020,12
385,Chile,persons held,drug possession,2020,126
386,Colombia,persons held,drug possession,2020,18952
387,Dominica,persons held,drug possession,2020,40
388,Mexico,persons held,drug possession,2020,9965
389,Malta,persons held,drug possession,2020,12
390,Argentina,persons held,drug possession,2021,1027
391,Chile,persons held,drug possession,2021,129
392,Czechia,persons held,drug possession,2021,972
393,Mexico,persons held,drug possession,2021,8292
394,Malta,persons held,drug possession,2021,29
395,Australia,persons held,drug trafficking,2010,3073
396,Colombia,persons held,drug trafficking,2010,15872
397,Czechia,persons held,drug trafficking,2010,1728
398,Italy,persons held,drug trafficking,2010,14791
399,Mexico,persons held,drug trafficking,2010,2480
400,Portugal,persons held,drug trafficking,2010,1950
401,Slovenia,persons held,drug trafficking,2010,89
402,Australia,persons held,drug trafficking,2011,3114
403,Colombia,persons held,drug trafficking,2011,19534
404,Czechia,persons held,drug trafficking,2011,1955
405,Italy,persons held,drug trafficking,2011,15059
406,Mexico,persons held,drug trafficking,2011,7335
407,Portugal,persons held,drug trafficking,2011,2075
408,Slovenia,persons held,drug trafficking,2011,123
409,Australia,persons held,drug trafficking,2012,3190
410,Belize,persons held,drug trafficking,2012,59
411,Colombia,persons held,drug trafficking,2012,16977
412,Czechia,persons held,drug trafficking,2012,1413
413,Spain,persons held,drug trafficking,2012,14545
414,Israel,persons held,drug trafficking,2012,802
415,Italy,persons held,drug trafficking,2012,14985
416,Mexico,persons held,drug trafficking,2012,11623
417,Portugal,persons held,drug trafficking,2012,2252
418,Trinidad and Tobago,persons held,drug trafficking,2012,113
419,Australia,persons held,drug trafficking,2013,3411
420,Belize,persons held,drug trafficking,2013,68
421,Bermuda,persons held,drug trafficking,2013,37
422,Colombia,persons held,drug trafficking,2013,18432
423,Czechia,persons held,drug trafficking,2013,1379
424,Spain,persons held,drug trafficking,2013,13749
425,Israel,persons held,drug trafficking,2013,734
426,Italy,persons held,drug trafficking,2013,14155
427,Portugal,persons held,drug trafficking,2013,2290
428,Trinidad and Tobago,persons held,drug trafficking,2013,156
429,Australia,persons held,drug trafficking,2014,3767
430,Belize,persons held,drug trafficking,2014,92
431,Bermuda,persons held,drug trafficking,2014,41
432,Switzerland,persons held,drug trafficking,2014,954
433,Colombia,persons held,drug trafficking,2014,16347
434,Costa Rica,persons held,drug trafficking,2014,1207
435,Czechia,persons held,drug trafficking,2014,1588
436,Ecuador,persons held,drug trafficking,2014,294
437,Spain,persons held,drug trafficking,2014,13085
438,Israel,persons held,drug trafficking,2014,779
439,Italy,persons held,drug trafficking,2014,11296
440,Mexico,persons held,drug trafficking,2014,4833
441,Malta,persons held,drug trafficking,2014,114
442,Portugal,persons held,drug trafficking,2014,2217
443,Thailand,persons held,drug trafficking,2014,1010
444,Trinidad and Tobago,persons held,drug trafficking,2014,127
445,Australia,persons held,drug trafficking,2015,4361
446,Switzerland,persons held,drug trafficking,2015,848
447,Colombia,persons held,drug trafficking,2015,17098
448,Costa Rica,persons held,drug trafficking,2015,1175
449,Czechia,persons held,drug trafficking,2015,1885
450,Spain,persons held,drug trafficking,2015,11933
451,Italy,persons held,drug trafficking,2015,10399
452,Jamaica,persons held,drug trafficking,2015,191
453,Mexico,persons held,drug trafficking,2015,7534
454,Malta,persons held,drug trafficking,2015,176
455,Portugal,persons held,drug trafficking,2015,2294
456,Trinidad and Tobago,persons held,drug trafficking,2015,123
457,Australia,persons held,drug trafficking,2016,4034
458,Belize,persons held,drug trafficking,2016,139
459,Switzerland,persons held,drug trafficking,2016,801
460,Czechia,persons held,drug trafficking,2016,2176
461,Spain,persons held,drug trafficking,2016,10761
462,Italy,persons held,drug trafficking,2016,19025
463,Luxembourg,persons held,drug trafficking,2016,148
464,Mexico,persons held,drug trafficking,2016,14990
465,Portugal,persons held,drug trafficking,2016,2187
466,Slovenia,persons held,drug trafficking,2016,148
467,Thailand,persons held,drug trafficking,2016,39568
468,Australia,persons held,drug trafficking,2017,5691
469,Bermuda,persons held,drug trafficking,2017,35
470,Switzerland,persons held,drug trafficking,2017,898
471,Chile,persons held,drug trafficking,2017,9276
472,Czechia,persons held,drug trafficking,2017,2296
473,Spain,persons held,drug trafficking,2017,9617
474,Italy,persons held,drug trafficking,2017,19887
475,Mexico,persons held,drug trafficking,2017,25870
476,Malta,persons held,drug trafficking,2017,128
477,Portugal,persons held,drug trafficking,2017,1930
478,Slovenia,persons held,drug trafficking,2017,217
479,Argentina,persons held,drug trafficking,2018,4434
480,Australia,persons held,drug trafficking,2018,6311
481,Belize,persons held,drug trafficking,2018,79
482,Bermuda,persons held,drug trafficking,2018,27
483,Switzerland,persons held,drug trafficking,2018,898
484,Chile,persons held,drug trafficking,2018,9060
485,Dominica,persons held,drug trafficking,2018,5
486,Spain,persons held,drug trafficking,2018,8891
487,Italy,persons held,drug trafficking,2018,21174
488,Mexico,persons held,drug trafficking,2018,26404
489,Malta,persons held,drug trafficking,2018,139
490,Portugal,persons held,drug trafficking,2018,1652
491,Slovenia,persons held,drug trafficking,2018,126
492,Argentina,persons held,drug trafficking,2019,4666
493,Antigua and Barbuda,persons held,drug trafficking,2019,5
494,Belize,persons held,drug trafficking,2019,79
495,Bermuda,persons held,drug trafficking,2019,28
496,Switzerland,persons held,drug trafficking,2019,925
497,Chile,persons held,drug trafficking,2019,9301
498,Colombia,persons held,drug trafficking,2019,25897
499,Dominica,persons held,drug trafficking,2019,16
500,Spain,persons held,drug trafficking,2019,8276
501,Italy,persons held,drug trafficking,2019,21318
502,Mexico,persons held,drug trafficking,2019,12420
503,Malta,persons held,drug trafficking,2019,115
504,Portugal,persons held,drug trafficking,2019,1849
505,Slovenia,persons held,drug trafficking,2019,151
506,Argentina,persons held,drug trafficking,2020,5802
507,Antigua and Barbuda,persons held,drug trafficking,2020,2
508,Belize,persons held,drug trafficking,2020,59
509,Switzerland,persons held,drug trafficking,2020,673
510,Chile,persons held,drug trafficking,2020,7900
511,Colombia,persons held,drug trafficking,2020,36466
512,Dominica,persons held,drug trafficking,2020,16
513,Spain,persons held,drug trafficking,2020,7819
514,Mexico,persons held,drug trafficking,2020,15024
515,Malta,persons held,drug trafficking,2020,99
516,Portugal,persons held,drug trafficking,2020,1762
517,Slovenia,persons held,drug trafficking,2020,173
518,Argentina,persons held,drug trafficking,2021,5870
519,Switzerland,persons held,drug trafficking,2021,463
520,Chile,persons held,drug trafficking,2021,9455
521,Colombia,persons held,drug trafficking,2021,35466
522,Czechia,persons held,drug trafficking,2021,2410
523,Croatia,persons held,drug trafficking,2021,192
524,Italy,persons held,drug trafficking,2021,18999
525,Mexico,persons held,drug trafficking,2021,12781
526,Malta,persons held,drug trafficking,2021,71
527,Portugal,persons held,drug trafficking,2021,1723
528,Slovenia,persons held,drug trafficking,2021,125
529,Australia,persons held,bribery,2016,3
530,Czechia,persons held,bribery,2016,4808
531,Spain,persons held,bribery,2016,1078
532,Italy,persons held,bribery,2016,316
533,Luxembourg,persons held,bribery,2016,4
534,Mexico,persons held,bribery,2016,928
535,Portugal,persons held,bribery,2016,15
536,Slovenia,persons held,bribery,2016,5
537,Australia,persons held,bribery,2017,3
538,Chile,persons held,bribery,2017,13
539,Czechia,persons held,bribery,2017,4976
540,Spain,persons held,bribery,2017,975
541,Italy,persons held,bribery,2017,315
542,Mexico,persons held,bribery,2017,1583
543,Portugal,persons held,bribery,2017,27
544,Slovenia,persons held,bribery,2017,10
545,Australia,persons held,bribery,2018,8
546,Austria,persons held,bribery,2018,5
547,Chile,persons held,bribery,2018,24
548,Spain,persons held,bribery,2018,1095
549,Italy,persons held,bribery,2018,320
550,Mexico,persons held,bribery,2018,1347
551,Portugal,persons held,bribery,2018,20
552,Slovenia,persons held,bribery,2018,41
553,Austria,persons held,bribery,2019,4
554,Chile,persons held,bribery,2019,26
555,Colombia,persons held,bribery,2019,685
556,Dominica,persons held,bribery,2019,14
557,Spain,persons held,bribery,2019,1219
558,Italy,persons held,bribery,2019,381
559,Mexico,persons held,bribery,2019,794
560,Portugal,persons held,bribery,2019,26
561,Slovenia,persons held,bribery,2019,38
562,Austria,persons held,bribery,2020,3
563,Chile,persons held,bribery,2020,18
564,Colombia,persons held,bribery,2020,4
565,Dominica,persons held,bribery,2020,19
566,Spain,persons held,bribery,2020,1213
567,Mexico,persons held,bribery,2020,966
568,Portugal,persons held,bribery,2020,22
569,Slovenia,persons held,bribery,2020,31
570,Austria,persons held,bribery,2021,7
571,Chile,persons held,bribery,2021,19
572,Colombia,persons held,bribery,2021,11
573,Czechia,persons held,bribery,2021,3836
574,Croatia,persons held,bribery,2021,6
575,Italy,persons held,bribery,2021,309
576,Mexico,persons held,bribery,2021,1004
577,Portugal,persons held,bribery,2021,27
578,Slovenia,persons held,bribery,2021,20
579,Costa Rica,entering,intending to cause death,2016,194
580,Mexico,entering,intending to cause death,2016,9883
581,Bermuda,entering,intending to cause death,2017,5
582,Chile,entering,intending to cause death,2017,172
583,Costa Rica,entering,intending to cause death,2017,193
584,Luxembourg,entering,intending to cause death,2017,35
585,Mexico,entering,intending to cause death,2017,11851
586,Switzerland,entering,intending to cause death,2018,55
587,Chile,entering,intending to cause death,2018,30
588,Dominica,entering,intending to cause death,2018,43
589,Mexico,entering,intending to cause death,2018,11796
590,Malta,entering,intending to cause death,2018,25
591,Belize,entering,intending to cause death,2019,129
592,Bermuda,entering,intending to cause death,2019,1
593,Switzerland,entering,intending to cause death,2019,23
594,Chile,entering,intending to cause death,2019,31
595,Dominica,entering,intending to cause death,2019,53
596,Spain,entering,intending to cause death,2019,4328
597,Malta,entering,intending to cause death,2019,20
598,Austria,entering,intending to cause death,2020,78
599,Chile,entering,intending to cause death,2020,1615
600,Colombia,entering,intending to cause death,2020,1158
601,Italy,entering,intending to cause death,2020,1130
602,Mexico,entering,intending to cause death,2020,11880
603,Austria,entering,intending to cause death,2021,49
604,Chile,entering,intending to cause death,2021,1482
605,Colombia,entering,intending to cause death,2021,2050
606,Italy,entering,intending to cause death,2021,1316
607,Mexico,entering,intending to cause death,2021,13434
608,Malta,entering,intending to cause death,2021,16
609,Bermuda,entering,other,2017,131
610,Dominica,entering,other,2018,232
611,Mexico,entering,other,2018,5927
612,Malta,entering,other,2018,64
613,Belize,entering,other,2019,310
614,Bermuda,entering,other,2019,97
615,Dominica,entering,other,2019,194
616,Spain,entering,other,2019,11646
617,Malta,entering,other,2019,95
618,Chile,entering,other,2020,59
619,Colombia,entering,other,2020,1346
620,Italy,entering,other,2020,1383
621,Mexico,entering,other,2020,1759
622,Chile,entering,other,2021,75
623,Colombia,entering,other,2021,3127
624,Italy,entering,other,2021,1421
625,Mexico,entering,other,2021,2233
626,Malta,entering,other,2021,474
627,Costa Rica,entering,acts to cause harm,2016,36
